id_lancamento;data_lancamento;competencia;centro_custo;projeto;unidade;fornecedor;cnpj;categoria;subcategoria;tipo_documento;numero_documento;descricao;quantidade;valor_unitario;valor_total;moeda;forma_pagamento;status_pagamento;aprovador
1005;10/03/2022;2022-03;Manutenção;Porto Sul;Manaus;Metalúrgica Phoenix;20.301.279/3398-61; Serviços;Limpeza;Recibo;921950;Limpeza referente a Porto Sul;10.0;206.12;2616.18;EUR;PIX;Pago;Paulo Andrade  
706;31/12/2024;2024-12;Manutenção;Saneamento PE;Belo Horizonte  ;Metalúrgica Phoenix;;VIAGENS;Alimentação;NF-e;716045;Alimentação referente a Saneamento PE;3.0;5232.94;1917.45;BRL; Caixa;Pendente;Marta Souza
1848;31/05/2022;2022-05;RH;Saneamento PE;;CloudTec Soluções;60.915.732/2210-49;Viagens;nan  ;NF-e;194568;Passagens referente a Saneamento PE;2.0;227.14;454.28;BRL;CARTÃO;Aprovado;Fernanda Nunes
323;24/07/2023;2023-07;Logística;Translado Offshore;Curitiba; Metalúrgica Phoenix;07.295.690/5653-08;Segurança;Treinamento;Di;612377;Treinamento referente a Translado Offshore;;197.76;791.04;EUR;PIX;Rejeitado;Paulo Andrade
267;03/05/2025;2025-05;Manutenção;Translado Offshore;Salvador;Metalúrgica phoenix;78.386.260/2536-20;Viagens;Traslados;Di;905810;Traslados referente a Translado Offshore;20.0;416.49;8329.8;BRL;Caixa;Pendente;Paulo Andrade
1547;18/11/2023;2023-11;Manutenção;Usina Solar MG;Salvador;Companhia de Máquinas Orion;6,54377E+14;Consultoria;ENGENHARIA;NFS-e;431699;Engenharia referente a Usina Solar MG;10.0;;4778.3;BRL;TED;Pendente;Renato Leal
1517;18/02/2023;2023-02;Obras;;Natal;Metalúrgica Phoenix;6,35836E+11;Energia;Geradores;Boleto;537909;GERADORES REFERENTE A LINHA 4 METRO SP;4.0;812.74;3250.96;BRL;Cartão;Rejeitado;Marta Souza
1269;23/10/2022;2022-10;TI;Ferrovias Centro-Oeste;Fortaleza;Alfa Energia S.A.;1,9962E+13;Materiais;EPIs; NFS-e;908415;EPIs referente a Ferrovias Centro-Oeste – URGENTE  ;1.0;457.43;457.43;BRL;Caixa;Em análise; Paulo Andrade
1054;25/07/2024;2024-07;Compras; Ponte Amazônia;Porto Alegre;Companhia de Máquinas Orion;1,12089E+14;TI;Suporte;NF-E;673641;Suporte referente a Ponte Amazônia;4.0;;3655.44;BRL;TED;Pago;nan  
1748;05/07/2022;2022-07;Segurança  ;Translado Offshore;Belo Horizonte;Geomap engenharia;70.017.903/8125-92;Energia; Gás;Boleto;619840;Gás referente a Translado Offshore;1.0;165.84;165.84;BRL;Cartão;Aprovado;Bruno Araújo
1865;03/03/2023;2023/03;Obras;Refinaria rn;MANAUS;SEGURPRO MONITORAMENTO;54.315.140/2946-76;Serviços;Soldagem;NFS-e;996731;Soldagem referente a Refinaria RN;3.0;62.98;188.94;BRL;PIX;Aprovado;Paulo Andrade
637;18/05/2024;2024-05;Financeiro;Eólicas NE;Recife;CloudTec Soluções;5,77355E+13;Segurança;Treinamento;Boleto  ;702052;Treinamento referente a Eólicas NE;1.0;434.31;434.31;BRL;Caixa;Em análise;Fernanda Nunes
1678;17/12/2023;2023-12;Logística;Saneamento PE;Natal;Alfa Energia S.A.;3,78353E+11;TI;Licenças;Boleto;126467;Licenças referente a Saneamento PE;2.0;693.6;1387.2;BRL;TED;Aprovado;Fernanda Nunes
544;23/05/2025;2025-05;Logística;Ponte Amazônia;Curitiba;GeoMap Engenharia;7,56063E+14;Materiais;Cimento; Recibo;768944;Cimento referente a Ponte Amazônia;3.0;353.25;1059.75;BRL;;Pendente;Carla Lima
1658;26/04/2022;2022-04;Logística;Translado Offshore;Brasília;COMPANHIA DE MÁQUINAS ORION;;TI;Suporte;Recibo;374715; Suporte referente a Translado Offshore;1.0;;524.05;BRL;Cartão;Pendente;
1855;09/05/2022;2022-05;Logística; Refinaria RN;Belo Horizonte;Consultoria delta;6,26564E+14;Locação;Veículos;Boleto;608062;Veículos referente a refinaria rn;5.0;258.1;1290.5;BRL;CAIXA; Em análise;Carla Lima
1651;15/12/2023;2023-12;Obras  ;Eólicas NE;;Global Tools Brasil;5,26521E+14;Segurança;Alarmes;Di;323447; Alarmes referente a Eólicas NE;3.0;491.34;1474.02;EUR;Boleto;Pago;MARTA SOUZA
1126;28/03/2022;2022-03;Financeiro;REFINARIA RN;Manaus;Hotelaria Nordeste;9,58225E+13;ENERGIA; Diesel;Boleto;979987;Diesel referente a Refinaria RN;;;13999.8;BRL; Caixa;Rejeitado;Bruno Araújo
1615;25/07/2022;2022-07;Segurança;Saneamento PE;Salvador;Consultoria Delta;75.955.349/2296-47;Serviços;Montagem;NFS-e;701798;Montagem referente a Saneamento PE;2.0;571.61;1143.22;BRL;;PAGO;
783;08/06/2023;2023-06;Engenharia;Translado offshore;Recife;Companhia de Máquinas Orion;7,82259E+13;Pessoal;Treinamento;NFS-e  ;574125;Treinamento referente a Translado Offshore;2.0;165.19;330.38;BRL;Cartão;Aprovado;Paulo Andrade
813;19/04/2023;2023-04;Engenharia;Ponte Amazônia;Natal;Constrular LTDA;2,47391E+11; Serviços;Montagem;Boleto;481292;MONTAGEM REFERENTE A PONTE AMAZÔNIA;1.0;1158.6;1158.6;USD;PIX;Pendente;Carla Lima
1011;13/12/2023;2023-12;COMPRAS;Refinaria RN;Brasília  ;Alfa Energia S.A.;3,48594E+14;TI;Hardware;Recibo;954800;Hardware referente a Refinaria RN;;;767.52;EUR;Boleto;Pago;Fernanda Nunes
1076;26/06/2022;2022-06;Compras;Ponte Amazônia;Natal;Hotelaria Nordeste;59.721.285/9392-13;Materiais;EPIs;Recibo;675015;EPIs referente a Ponte Amazônia;4.0;630.61;2522.44;BRL;Boleto; Em análise;Bruno Araújo  
1139;02/08/2023;2023-08;Financeiro;Eólicas NE;Manaus;Oficina do Aço;;Materiais;EPIs; Recibo;275915; EPIs referente a Eólicas NE;1.0;156.84;156.84;EUR;Cartão;Em análise;Paulo Andrade  
963;17/07/2022;2022-07;TI;Ponte Amazônia;CURITIBA; CloudTec Soluções;4,66305E+13;Materiais;;Di;952089;Ferramentas referente a Ponte Amazônia;20.0;542.98;10859.6;BRL;Caixa; Rejeitado;Marta Souza
1567;27/01/2025;2025-01;Logística;Ferrovias Centro-Oeste;Curitiba;Consultoria Delta;9,15331E+13;Segurança;Monitoramento;NF-e;376869;MONITORAMENTO REFERENTE A FERROVIAS CENTRO-OESTE;2.0;;1180.18;BRL;Pix;Rejeitado;Renato Leal
1442;05/06/2023;2023-06;Segurança;Linha 4 Metro SP;Manaus;Cloudtec soluções;01.130.313/3880-46;Locação;Galpão;NFS-e;697065;Galpão referente a linha 4 metro sp;20.0;6103.68;5003.4;BRL; Boleto;Rejeitado; nan
832;30/04/2023;2023-04;Segurança;;Belo Horizonte; GeoMap Engenharia;06.295.535/9378-16;Serviços;Montagem;Recibo;954039;Montagem referente a Saneamento PE – URGENTE;20.0;373.38;7467.6;BRL;Cartão;Pendente;Paulo andrade
366;13/12/2024;2024-12;Financeiro;Linha 4 Metro SP  ;Recife;Logisway Transportes;9,04186E+14;Energia;Gás;NFS-e;;Gás referente a Linha 4 Metro SP;5.0;;2630.95;BRL;TED;Aprovado;Carla Lima
1352;07/11/2022;2022-11;Obras;Usina Solar MG;Natal  ;Hotelaria Nordeste;5,61789E+11;Materiais  ;Ferramentas;NFS-e;175443;Ferramentas referente a Usina Solar MG;5.0;670.21;;BRL;Boleto;Aprovado;Marta Souza
1111;06/10/2024;2024-10;Manutenção;Saneamento PE;Manaus;GeoMap Engenharia;9,9322E+13;Energia;Combustível  ;Recibo;183446;Combustível referente a Saneamento PE;4.0;;1506.04;BRL;Caixa;Rejeitado;Marta Souza
687;10/02/2024;2024-02;RH;Linha 4 Metro SP;SALVADOR;Serviços Gerais BR  ;6,85038E+11;Energia; Eletricidade;NFS-e;474386;;20.0;;8402.4;BRL;Cartão;Aprovado;Bruno Araújo
1406;04/02/2025;2025-02;Segurança;Eólicas NE;Recife;OFICINA DO AÇO;;Segurança;Vigilância;NF-e;502262;Vigilância referente a Eólicas NE;4.0;-599.5;3365.76;BRL;Boleto;Rejeitado; Carla Lima
1240;29/03/2024;2024-03;ENGENHARIA;Translado Offshore  ;Curitiba;Hotelaria Nordeste;09.692.385/0884-76;Pessoal  ;Folha;NFS-e;325011;Folha referente a Translado Offshore;2.0;1065.89;2131.78;BRL;PIX;Pago;Bruno Araújo
1469;09/02/2022;2022-02;Engenharia;Porto Sul  ;Manaus;Topografia Silva ME;16.159.849/6078-45 ;Serviços;Topografia;NF-e;631014;Topografia referente a Porto Sul;3.0;325.81;977.43;USD;;Pendente;Bruno Araújo
1782;01/04/2025;2025/04;COMPRAS;Porto Sul;Recife;Consultoria Delta;3,05078E+11;Consultoria;Ambiental  ;Di  ;441798;Ambiental referente a Porto Sul;10.0;656.87;6568.7;BRL;TED;Pago;Carla Lima
1028;04/10/2024;2024-10;OBRAS; Translado Offshore;Curitiba;Oficina do Aço;5,63776E+11;Energia;GERADORES;Recibo;458127;Geradores referente a Translado Offshore;1.0;388.39;388.39;BRL;PIX;Rejeitado;Paulo Andrade
966;17/04/2025;2025-04;Obras;Refinaria RN;Porto Alegre;Serviços Gerais BR;5,94822E+14;TI;Hardware;NFS-e;212286;Hardware referente a Refinaria RN;20.0;1006.15;20123.0;BRL;PIX;Pendente;Renato Leal
319;03/07/2025;2025-07;Compras;Linha 4 Metro SP;Natal;Consultoria Delta;7,24117E+14;Serviços;Topografia;NF-e;220082;Topografia referente a Linha 4 Metro SP;20.0;395.0;;BRL;Cartão  ;Pago;Renato Leal
1891;04/05/2023;2023-05;Administrativo;Porto Sul;Salvador;SegurPro Monitoramento;3,43095E+14;Locação  ;;NF-e;262704;Containers referente a Porto Sul;5.0;296.5;1482.5;BRL;Cartão;Pendente;Marta Souza
1294;09/01/2025;2025-01;Segurança; Refinaria RN;;Logisway Transportes;5,24275E+11;Materiais;EPIs  ; Recibo;438530;EPIs referente a Refinaria RN;4.0;898.8;3595.2;BRL;Caixa; Pendente;João Pereira
1592;05/10/2024;2024-10;Logística;Eólicas NE;Fortaleza;Global tools brasil;54.887.617/2596-54;Logística  ;Despacho;Boleto  ;217658;Despacho referente a eólicas ne – urgente;3.0;480.5;1441.5;BRL;PIX;Rejeitado;Paulo Andrade
874;29/11/2024;2024-11;Administrativo;Usina Solar MG;;SEGURPRO MONITORAMENTO;1,10198E+14;Locação;Máquinas;NFS-e;532193;Máquinas referente a Usina Solar MG;3.0;297.61;892.83;BRL;TED;Aprovado;Carla Lima
1084;24/08/2024;2024-08; Obras;Linha 4 Metro SP;Salvador;Transportes Atlântico;2,18271E+11;Pessoal;Horas Extras;NFS-e  ;840761;Horas Extras referente a Linha 4 Metro SP;1.0;188.01;188.01;BRL;Caixa;Aprovado;JOÃO PEREIRA
344;20/01/2022;2022-01;Segurança;Refinaria RN;Recife;Consultoria Delta;7,22385E+14;Segurança;Brigada;Boleto  ;;;5.0;548,77;;USD;TED;Em análise;Paulo Andrade  
399;17/12/2024;2024-12;RH;Eólicas NE;Porto Alegre;Hotelaria Nordeste;5,27414E+13;Viagens;Hospedagem;Boleto;;Hospedagem referente a Eólicas NE;;;520.91;USD;Boleto  ;Pago;Marta Souza
1552;05/08/2024;2024-08;Financeiro;Translado Offshore;Recife;Serviços Gerais BR;35.666.342/0796-89;Materiais;TUBULAÇÕES;NFS-e;148695;Tubulações referente a translado offshore;10.0;105.08;1050.8;BRL;TED;Rejeitado;Paulo Andrade
293;01/07/2023;2023-07;Logística;Ferrovias Centro-Oeste  ;Brasília;SegurPro Monitoramento;5,8777E+14;Locação;Equipamentos;Di;270020;Equipamentos referente a Ferrovias Centro-Oeste;5.0;485.14;2425.7;BRL;Caixa;Em análise;
1467;29/11/2023;2023-11;SEGURANÇA;Translado Offshore  ;São Paulo;Consultoria Delta;7,16865E+14;Locação  ;Galpão;NF-e;643934;Galpão referente a Translado Offshore;2.0;754.48;1508.96;USD;Caixa;PENDENTE;Bruno Araújo
1874;03/11/2024;2024-03;RH;Ferrovias Centro-Oeste;nan  ;Metalúrgica Phoenix;;Segurança;Alarmes;Recibo;579424;Alarmes referente a Ferrovias Centro-Oeste;;951.72;9517.2;BRL;Boleto;Rejeitado;João Pereira
1942;01/10/2024;2024-10;Engenharia;Refinaria rn;RECIFE;Constrular LTDA;95.435.224/4834-83;Materiais  ;Tubulações;Boleto;824198;Tubulações referente a Refinaria RN  ;2.0;820.08;1640.16;BRL;Caixa;Pendente;João Pereira
142;25/06/2023;2023-06;Obras;Ferrovias Centro-Oeste;Recife;Topografia Silva ME;6,91524E+11;Segurança;Alarmes;NF-e;489893;Alarmes referente a Ferrovias Centro-Oeste;4.0;1029.81;4119.24;EUR;Cartão;Em análise;Carla Lima
1245;11/01/2022;2022-01;Compras;Ponte amazônia;Fortaleza;SegurPro Monitoramento;1,39193E+11;Pessoal;Horas Extras;NF-e;;Horas extras referente a ponte amazônia – urgente;2.0;604.8;1209.6;BRL;Caixa;Aprovado  ;João Pereira  
3;18/07/2025;202507;Financeiro  ;Ponte Amazônia;Curitiba;Consultoria Delta  ;4,05427E+14;Serviços;Topografia;NF-e  ;786126;Topografia referente a Ponte Amazônia  ;2.0;132.45;;BRL;Boleto;Pago;BRUNO ARAÚJO
1357;08/09/2022;2022-09; Segurança;Usina Solar MG;São Paulo; Alfa Energia S.A.;6,40796E+14;Materiais; Aço;Di;384949;Aço referente a Usina Solar MG;10.0;;;BRL;CARTÃO;Aprovado;NAN
340;07/04/2024;2024-04; Financeiro;Linha 4 Metro SP;Porto Alegre;Global Tools Brasil;6,8942E+11;Locação;Galpão;NF-e  ;760467;GALPÃO REFERENTE A LINHA 4 METRO SP;20.0;361.55;7231.0;BRL;TED;PENDENTE;Marta Souza
742;26/06/2023;2023-06;Segurança;Saneamento PE;Fortaleza;Logisway Transportes  ;7,545E+14;Materiais;Aço;NF-e;590823;Aço referente a Saneamento PE – URGENTE;5.0;1109.66;5548.3;USD;Cartão;Pendente;Carla Lima
266;03/04/2025;2025-03;Financeiro;Porto Sul;Recife;Constrular LTDA  ;9,69653E+14;Segurança; Treinamento;NFS-e;318411;Treinamento referente a Porto Sul;1.0;800.86;800.86;BRL;Caixa;Pendente;JOÃO PEREIRA
377;13/02/2024;2024/02;TI;Ponte Amazônia;Fortaleza;Companhia de máquinas orion;55.622.987/4590-90 ;PESSOAL;;Recibo;944254;Horas Extras referente a Ponte Amazônia;10.0;292.62;2926.2;BRL;;Pago;Marta Souza
980;01/07/2025;2025-07;Segurança;Usina Solar MG;Fortaleza;Constrular ltda;95.020.988/4388-24;Energia  ;Diesel;Boleto;508854;Diesel referente a Usina Solar MG;1.0;349.5;349.5;USD;PIX;Aprovado;Paulo Andrade  
440;06/06/2023;2023-06;Logística;Eólicas NE;São Paulo;Oficina do Aço;5,08469E+13;Viagens;Alimentação;NF-e  ;753421;Alimentação referente a Eólicas NE;;341.51;3415.1;USD;TED;PAGO;Marta Souza
272;05/04/2023;2023-04;Obras;Ponte Amazônia;Brasília;Alfa Energia S.A.;01.348.024/2323-07;Materiais;Ferramentas;NF-e;821671;Ferramentas referente a Ponte Amazônia  ;3.0;399.3;1197.9;BRL;Caixa;Aprovado;Fernanda nunes
245;17/02/2025;2025-02;Administrativo;DataCenter Recife;São Paulo;GeoMap Engenharia;1,7516E+11;Consultoria;Auditoria;Di;396727;Auditoria referente a DataCenter Recife;2.0;167.39;334.78;BRL;TED;Pago;Carla Lima  
1165;01/12/2023;2023-12;Compras;LINHA 4 METRO SP;;Metalúrgica phoenix;1,46634E+11;Segurança;ALARMES;Di;741061;Alarmes referente a Linha 4 Metro SP;4.0;;1723.36;BRL;Cartão;Em análise;Carla Lima
713;25/09/2022;2022-09;Engenharia;DataCenter Recife;Brasília; Hotelaria Nordeste;9,12097E+13;Materiais;Aço;NF-e;;NAN;;614.14;6141.4;BRL;Cartão;Rejeitado;João Pereira
998;23/04/2024;2024-04;Segurança;DataCenter Recife;Porto Alegre;Alfa Energia S.A.;9,75389E+14;Energia;Eletricidade;NF-E;130968;;1.0;153.35;153.35;BRL;TED;Aprovado;Fernanda Nunes
1468;29/11/2024;2024-11;Compras;Usina Solar MG;Manaus;Constrular LTDA;8,65102E+14;Locação;Galpão;NFS-e;116036;Galpão referente a usina solar mg;2.0;276.02;552.04;BRL;Caixa;Rejeitado;Bruno Araújo
416;04/01/2025;2025-01;Manutenção;Linha 4 Metro SP;Porto Alegre  ;Constrular LTDA;5,24812E+13;Viagens;Passagens;Nfs-e;869208;Passagens referente a Linha 4 Metro SP;10.0;318.15;3181.5;BRL;Caixa;Pendente;João Pereira
274;15/04/2023;2023-04;Financeiro;Eólicas NE;São Paulo;Oficina do Aço;77.300.181/1566-85;Logística  ;;Boleto;711189;;4.0;;667.76;BRL;PIX;Aprovado;Bruno Araújo  
862;24/10/2023;2023-10;Administrativo;Porto Sul;;Topografia Silva ME;73831249563;Consultoria; Auditoria;NF-e;;Auditoria referente a Porto Sul  ;10.0;;3732.5;BRL;TED;Pago;MARTA SOUZA
251;09/02/2025;2025-02;Segurança;Ponte Amazônia;Fortaleza;Constrular LTDA;1,29758E+11;Materiais;EPIs;Boleto;503662;Epis referente a ponte amazônia;1.0;105.68;105.68;BRL;Boleto;Rejeitado;Carla Lima
414;10/05/2024;2024-05;RH;Ferrovias Centro-Oeste;Fortaleza;Serviços Gerais BR;2,66662E+11;TI;Hardware;NF-e;793881; Hardware referente a Ferrovias Centro-Oeste;4.0;490,92;1963,68;BRL;Caixa;Aprovado;Renato Leal
1186;16/08/2023;2023-08;Engenharia;Refinaria RN;Recife;Consultoria Delta;;Pessoal  ;Recrutamento;Boleto;;Recrutamento referente a Refinaria RN;20.0;;3389.8;BRL;nan  ;Pendente;Nan
1414;23/02/2022;2022-02;Financeiro  ;;Recife;Topografia silva me;;Segurança;Monitoramento;Recibo;134064;Monitoramento referente a Usina Solar MG;3.0;815.02;2445.06;BRL;Cartão;Pendente;
311;01/12/2023;202312;Administrativo;Saneamento PE; Manaus;Hotelaria Nordeste;9,98618E+11;Consultoria  ;Auditoria;Boleto;696721;Auditoria referente a Saneamento PE;1.0;1136.28;1136.28;BRL;Boleto  ;Aprovado;Fernanda Nunes
1341;30/12/2022;2022-12;Financeiro;Porto Sul;Salvador;Serviços Gerais BR;8,51E+13;Segurança;Vigilância;NFS-e;906458;Vigilância referente a Porto Sul;5.0;597.72;2988.6;BRL;;Rejeitado;Paulo Andrade
1387;06/08/2024;2024-08;Segurança;;Brasília  ;SegurPro Monitoramento;4,02988E+13;Pessoal;Recrutamento;Recibo;339828;Recrutamento referente a Linha 4 Metro SP;3.0;665.17;1995.51;BRL;Boleto;Aprovado;Paulo Andrade
426;04/04/2022;2022-04;RH;Usina Solar MG;Salvador;SegurPro Monitoramento;;Pessoal  ; Horas Extras; NFS-e;300876;;2.0;1140.37;2280.74;BRL;PIX;PENDENTE;Carla Lima
980;01/07/2025;2025-07;Segurança;Usina Solar MG;Fortaleza;CONSTRULAR LTDA;95.020.988/4388-24;Energia;Diesel;Boleto;508854;Diesel referente a Usina Solar MG;1.0;349.5;349.5;BRL;PIX;Aprovado; Paulo Andrade
1269;23/10/2022;2022-10;TI;;Fortaleza;Alfa Energia S.A.;1,9962E+13;Materiais; EPIs;NFS-e;908415;EPIs referente a Ferrovias Centro-Oeste – URGENTE;1.0;457.43;457.43;BRL;Caixa;Em análise;Paulo Andrade
1361;28/11/2024;2024-11;COMPRAS;Saneamento PE  ;Salvador;Companhia de Máquinas Orion  ;17.598.946/5453-20;Segurança; Monitoramento;Di;256456;Monitoramento referente a Saneamento PE;2.0;164.11;328.22;BRL;Caixa;Rejeitado;Marta Souza
1465;15/12/2022;2022-12;Administrativo  ;Refinaria rn;Recife;Transportes Atlântico;48.828.230/4813-91;Energia;Eletricidade;NF-e;946789;Eletricidade referente a Refinaria RN;1.0;482.35;482.35;BRL;Caixa;Rejeitado;Paulo Andrade
820;30/11/2023;2023-11;Obras;Saneamento PE;;Alfa Energia S.A.;2,57081E+14;Materiais;Ferramentas;Di;331946;Ferramentas referente a Saneamento PE;2.0;525.75;1051.5;BRL;Boleto;Em análise;Paulo Andrade  
1117;30/05/2025;2025-05;Administrativo  ;Ponte amazônia;São Paulo;Alfa Energia S.A.;6,93027E+14;SEGURANÇA;Alarmes;Boleto;433239;Alarmes referente a Ponte Amazônia;4.0;458.58;1834.32;USD;Boleto;Rejeitado;Renato Leal
1478;26/03/2024;2024-03;RH;;Belo Horizonte;Constrular LTDA  ;5,28074E+11;Energia;Eletricidade;NF-e;603782;Eletricidade referente a Saneamento PE;4.0;734.09;2936.36;BRL;Caixa; Pago;Paulo Andrade  
527;31/01/2023;2023/01;Obras;Ponte Amazônia;Belo Horizonte; Topografia Silva ME;5,04638E+11;Energia;Combustível;Boleto;746943;COMBUSTÍVEL REFERENTE A PONTE AMAZÔNIA;1.0;329.48;329.48;USD;PIX;Rejeitado;Bruno araújo
1601;04/06/2023;2023-06;Financeiro;Translado Offshore;Salvador;Metalúrgica Phoenix;2,44801E+13;Segurança;;Di;528599;Vigilância referente a Translado Offshore;10.0;194.34;;BRL;;Aprovado;Paulo Andrade
760;31/01/2024;2024-01;RH;;Porto Alegre;Metalúrgica Phoenix;1,6543E+14;Energia;Diesel;Recibo;759022;Diesel referente a Eólicas NE;5.0;1102.51;5512.55;BRL;TED  ;Pendente;Carla Lima
183;04/05/2024;2024-05;Financeiro;;Curitiba;Topografia silva me;36.539.103/3053-00;Pessoal;Benefícios;Recibo;895299;Benefícios referente a Ferrovias Centro-Oeste – URGENTE;2.0;;2080.82;BRL;PIX;Em análise;Marta Souza
171;10/02/2025;2025-02;Obras;Eólicas NE;Recife;Logisway Transportes;7,91405E+13;Segurança;Vigilância  ;NFS-E;285026;Vigilância referente a Eólicas NE;;65.61;196.83;USD;PIX;Rejeitado;Paulo andrade
1832;05/05/2023;2023-05;Engenharia;DATACENTER RECIFE;Curitiba;CloudTec Soluções;6,68706E+14;Logística;;Di  ;161939;;4.0;1452.36;5809.44;BRL;BOLETO;Em análise;
1677;07/07/2023;2023-07;Administrativo;DataCenter Recife;Salvador;Serviços Gerais BR;68.718.394/4350-13;TI  ;Cloud;Recibo;773127;Cloud referente a DataCenter Recife;1.0;229.07;229.07;BRL;TED;Rejeitado;Renato Leal
1792;15/08/2023;2023-08;Obras;Usina Solar MG;Curitiba;SegurPro Monitoramento;9,59453E+13;Segurança;Treinamento;Recibo;147501;Treinamento referente a Usina Solar MG;10.0;589,5;5895;EUR;TED;Rejeitado  ;Bruno Araújo
1780;28/01/2022;2022-01;Compras;Refinaria RN;Manaus;CloudTec Soluções;2,31472E+13;Serviços;Limpeza;Di;960675;Limpeza referente a Refinaria RN;20.0;491.9;9838.0;BRL;Boleto;Aprovado;Marta Souza
1619;05/06/2023;2023-06;Segurança;Translado Offshore;Curitiba;Hotelaria Nordeste;;Consultoria;Auditoria;Di;708110;Auditoria referente a translado offshore;10.0;507.93;5079.3;BRL;Ted;Em análise;
747;07/03/2024;2024-03;TI;Porto Sul  ;SALVADOR;Consultoria Delta;6,63162E+11;Locação;Equipamentos;Recibo;565498;Equipamentos referente a Porto Sul;10.0;649.57;6495.7;USD;PIX;Aprovado;Carla Lima
273;12/08/2024;2024-08;Administrativo;Ferrovias Centro-Oeste  ;Manaus;Consultoria Delta;3,61152E+13;Pessoal;Treinamento;NFS-e;357870;Treinamento referente a Ferrovias Centro-Oeste;4.0;265.32;1061.28;USD;;Aprovado;Fernanda Nunes
1670;04/03/2023;2023-03;Manutenção;USINA SOLAR MG;NATAL;CloudTec Soluções;49.812.742/5544-51;Logística;Armazenagem;NFS-E;784239;Armazenagem referente a Usina Solar MG;1.0;;226.95;BRL;PIX;Aprovado;Marta Souza
1888;08/08/2023;2023-08;RH;Ferrovias Centro-Oeste;Natal;HOTELARIA NORDESTE;;Locação;Equipamentos;NF-e  ;396856;Equipamentos referente a Ferrovias Centro-Oeste;5.0;182.34;911.7;BRL;Caixa;Aprovado;Fernanda Nunes
1045;21/07/2023;2023-07;Manutenção;Usina Solar MG;São Paulo;TOPOGRAFIA SILVA ME;82.194.857/7641-99;Serviços;Topografia;NF-e;322763;Topografia referente a Usina Solar MG  ;1.0;634,03;634,03;EUR;Boleto;Rejeitado;Paulo Andrade
372;12/12/2024;2024-12; Obras; DataCenter Recife;Brasília;Hotelaria Nordeste  ;8,81858E+13;Logística;Frete;Di;311098;Frete referente a DataCenter Recife;3.0;344.18;1032.54;BRL;Caixa; Aprovado;Bruno Araújo
223;20/09/2022;2022-09;Engenharia;Ferrovias Centro-Oeste;Belo Horizonte;Consultoria Delta;4,55832E+11; Consultoria;Ambiental;NF-e;123830;Ambiental referente a Ferrovias Centro-Oeste;;;875.88;BRL; Cartão;Rejeitado;Fernanda Nunes
594;20/05/2023;2023-05;Compras;Ponte Amazônia;SÃO PAULO;Consultoria Delta;5,1187E+13;Energia;Geradores  ;Di;817566;Geradores referente a Ponte Amazônia;1.0;600.3;600.3;BRL;PIX;Rejeitado;Marta Souza
1526;15/09/2024;2024-09;Manutenção;;Belo Horizonte;Transportes Atlântico;9,29672E+11;Consultoria;Jurídica;Di;842489; Jurídica referente a Translado Offshore;1.0;313,63;313,63;BRL;Cartão;Rejeitado;João Pereira
655;26/03/2023;2023-03; Manutenção;;Curitiba;Oficina do Aço;;Logística;Frete;Di;759325;Frete referente a Ponte Amazônia;20.0;86,09;;BRL;Boleto;Pendente;João Pereira
916;13/01/2022;2022-01;Obras  ;;;SegurPro Monitoramento  ;78.891.342/0591-80; Locação;Máquinas;Boleto;676294;Máquinas referente a Translado Offshore – URGENTE;2.0;387.23;774.46;BRL;Boleto;Pago; João Pereira
519;31/03/2023;2023-03;Manutenção;Eólicas NE; Porto Alegre;Global Tools Brasil;34.449.892/5786-20 ;Locação;Equipamentos; Di;679302;Equipamentos referente a eólicas ne;2.0;1261.28;2522.56;BRL;Boleto;Pendente;Fernanda Nunes
335;29/01/2024;2024-01;Compras  ;Eólicas NE;Fortaleza;Global Tools Brasil;63735843783;Segurança; Treinamento;NF-e;717343;Treinamento referente a Eólicas NE;2.0;;376.32;BRL;Boleto;Rejeitado;Paulo Andrade
1423;03/03/2022;2022/03;TI;Refinaria RN;RECIFE;Serviços Gerais BR;86.577.533/3501-50;Pessoal;RECRUTAMENTO;NF-e;308997;Recrutamento referente a Refinaria RN;3.0;293.59;880.77;BRL; Cartão;Em análise  ; Bruno Araújo
1581;18/01/2024;2024-01;Manutenção;Translado Offshore;;Constrular LTDA;31.695.741/3013-53;Logística;Armazenagem;NF-e;635194;Armazenagem referente a Translado Offshore;2.0;436.6;873.2;BRL;NAN;Em análise;Renato Leal
1597;27/07/2022;2022-07; Engenharia;Porto Sul;Fortaleza;SegurPro Monitoramento;1,48032E+13;Viagens;Traslados;NFS-e;494021;Traslados referente a Porto Sul;2.0;356.11;712.22;BRL;Caixa;Aprovado;Bruno Araújo
772;03/11/2023;2023-11;Engenharia; Ferrovias Centro-Oeste;Brasília;Metalúrgica Phoenix;37.882.455/9755-36;Locação  ;Máquinas  ;NF-e;546967;Máquinas referente a Ferrovias Centro-Oeste;4.0;673.24;2692.96;BRL;TED;Rejeitado;Bruno Araújo
16;10/12/2022;2022-12;Administrativo;Usina Solar MG;Recife;Serviços Gerais BR;2,82483E+13;Serviços  ;LIMPEZA;NFS-e;808814;Limpeza referente a Usina Solar MG;20.0;761.49;15229.8;USD;Boleto;Rejeitado;Marta Souza
